Tyrion Lannister
Jaime Lannister
Cersei Lannister
Daenerys Targaryen
Jon Snow
Petyr Baelish
Jorah Mormont
Sansa Stark
Arya Stark
Theon Greyjoy
Bran Stark
Sandor Clegane
Joffrey Baratheon
Catelyn Stark
Robb Stark
Khal Drogo
Ned Stark
Robert Baratheon
Viserys Targaryen
Varys
Samwell Tarly
Bronn
Tywin Lannister
Shae
Jeor Mormont
Gendry
Tommen Baratheon
Jaqen H'ghar
Davos Seaworth
Melisandre
Margaery Tyrell
Stannis Baratheon
Ygritte
Talisa Stark
Brienne of Tarth
Gilly
Roose Bolton
Tormund Giantsbane
Ramsay Bolton
Daario Naharis
Missandei
Ellaria Sand
The High Sparrow
Gregor Clegane
Grand Maester Pycelle
Loras Tyrell
Hodor
Alliser Thorne
Othell Yarwyck
Myrcella Baratheon
Kevan Lannister
Lancel Lannister
Osha
Rickon Stark
Rodrik Cassel
Meryn Trant
Maester Aemon
Barristan Selmy
Janos Slynt
Grenn
Hot Pie
Pypar
Rast
Ros
Doreah
Irri
Maester Luwin
Podrick Payne
Eddison Tollett
Yara Greyjoy
Selyse Baratheon
Grey Worm
Qyburn
Olenna Tyrell
Meera Reed
Shireen Baratheon
Jojen Reed
Olly
Mace Tyrell
Bowen Marsh
The Waif
